 Active Chilled Beam             | chilled-beam-unit | active-chilled-beam
 Guided-Missile Frigate          | guided-missile-frigate | naval-frigate
 Home Deep Fryer                 | home-deep-fryer | deep-fryer-home
 Horizontal Flow Wrapper         | horizontal-flow-wrapper | horizontal-flow-wrap-machine
 Hot Towel Cabinet               | heated-towel-cabinet | hot-towel-cabinet
 Hydraulic Dock Leveler          | loading-dock-leveler | dock-leveler
 Hydraulic Door Closer           | door-closer-hydraulic | door-closer
 Hydraulic Press                 | hydraulic-press | hydraulic-stamping-press
 Industrial Parts Washer         | parts-washer | parts-cleaning-machine
 Industrial Smokehouse           | industrial-smokehouse | smokehouse-industrial
 Jet Dyeing Machine              | dyeing-machine | fabric-dyeing-jet-machine
 Metal Planer                    | metal-planer | planer-machine-tool
 Oilseed Expeller Press          | oilseed-press-industrial | oilseed-expeller
 Orchestra Pit Lift              | orchestra-pit-lift | orchestra-lift
 Outdoor Gas Pizza Oven          | outdoor-pizza-oven | outdoor-gas-pizza-oven
 Pad Printing Machine            | pad-printing-machine | pad-printing-press
 Pallet Stretch Wrapper          | stretch-wrapper | pallet-wrapper
 Patty Forming Machine           | automatic-patty-former | patty-forming-machine
 Pipe Inspection Crawler         | pipe-inspection-crawler | inspection-crawler-robot
 Pipelayer                       | pipe-layer | pipelayer
 Planetarium Projector           | planetarium-projector | dome-planetarium-projector
 Pneumatic Wine Press            | wine-press | wine-press-pneumatic
 Portable Induction Cooktop      | portable-induction-cooktop | induction-cooktop-portable
 Potato Harvester                | self-propelled-potato-digger | potato-harvester
 Poultry Evisceration Line       | evisceration-line | poultry-evisceration-line
 Poultry Plucker                 | poultry-defeathering-machine | poultry-plucker
 Powered Roller Conveyor         | roller-conveyor | roller-conveyor-powered
 Raclette Grill                  | raclette-tabletop-grill | raclette-grill
 Reach Truck                     | reach-truck-warehouse | reach-truck
 Resistance Seam Welder          | seam-welder | resistance-seam-welder
 Resistive Load Bank             | load-bank | load-bank-resistive
 Ribbon Blender                  | ribbon-blender-food | ribbon-blender
 Ring Spinning Frame             | spinning-frame | ring-spinning-frame
 Rockwell Hardness Tester        | rockwell-hardness-tester | hardness-tester-rockwell
 Roller Flour Mill               | flour-mill | roller-flour-mill
 Rotational Molding Machine      | rotomolding-machine | roto-mold-carousel | rotational-molding-machine
 Rubber-Tyred Gantry Crane       | gantry-crane | rubber-tyred-gantry-crane
 Sanforizing Machine             | sanforizing-machine | sanforizing-shrinkage-machine
 Scanning Electron Microscope    | electron-microscope | scanning-electron-microscope
 Shrink Sleeve Applicator        | label-shrink-sleeve-applicator | shrink-sleeve-applicator
 Single-Axis Solar Tracker       | solar-tracker-single-axis | solar-tracker
 Slotting Machine                | slotter-machine | slotting-machine
 Solar Carport                   | solar-carport-system | solar-carport
 Sous Vide Immersion Circulator  | sous-vide-immersion | sous-vide-cooker
 Spiral Freezer                  | spiral-freezer-food | spiral-freezer
 Stacker-Reclaimer               | stacker-reclaimer | bridge-stacker-reclaimer
 Strapping Machine               | pallet-strapping-machine | strapping-machine
 Stretch Limousine               | stretch-limousine | limousine
 Stud Welding Machine            | stud-welder | stud-welding-machine
 Tandem Bicycle                  | tandem-bicycle | tandem-bike
 Tank Inspection Robot           | tank-inspection-robot | confined-tank-inspection-robot
 Thermoforming Machine           | thermoforming-machine | sheet-thermoformer
 Thread Rolling Machine          | thread-rolling-machine | flat-die-thread-roller
 Total Station                   | theodolite-total-station | total-station
 Trawl Winch                     | trawl-winch | net-trawl-winch
 Trencher                        | trencher | trenching-machine
 Vacuum Furnace                  | vacuum-furnace | vacuum-heat-treat-furnace
 Vacuum Tube Lifter              | vacuum-tube-lifter | vacuum-lifter
 VAV Terminal Box                | vav-terminal-box | vav-box
 Vertical Broaching Machine      | broaching-machine | vertical-broaching-machine
 Vertical Form-Fill-Seal Machine | form-fill-seal-machine | vertical-form-fill-seal-machine
 Vertical Lift Module            | vertical-lift-module-system | vertical-lift-module
 Vibratory Finishing Machine     | vibratory-deburring-machine | vibratory-finishing-bowl
 Warp Sizing Machine             | sizing-machine-textile | sizing-machine
 Welding Positioner              | welding-positioner | tilt-welding-positioner
 Wide-Body Airliner              | wide-body-airliner | widebody-airliner
 Wire Drawing Machine            | multi-die-wire-drawer | wire-drawing-machine
 Wire EDM Machine                | wire-edm | edm-wire-machine

